Pays;CODE;categorie;Continent;rang;Score;population;IDH;taux_de_croissance_demographique;degre_de_liberte_de_propriete;degre_de_liberte_face.a_la_corruption;degre_de_liberte_financiere;degre_de_liberte_fiscale;degre_de_liberte_monetaire;degre_de_liberte_de_travail;culture_democratique;efficacite_et_responsabilite_gouvernementale;degre_de_liberte_civile;niveau_de_participation_politique;pluralite_et_qualite_du_processus_electoral;degre_de_liberte_de_presse;indice_de_droit_politique;degre_de_liberte_economique;niveau_de_liberte_des_invistissements;Niveau_du_taux_marginal_d.imposition;Taille_de_l.etat;Taux_marginal_d.imposition;degre_de_liberte_de_commerce;Depenses_militaires_.._du_PIB.;Exportations_d.armes_..US_constant_1990.;Importations_d.armes_..US_constant_1990.;Personnel_militaire_.._de_la_main_d.œuvre_totale.;Personnel_militaire_.total.;Niveau_d.instabilite_politique;Depenses_publiques_totales_dans_le_secteur_de_l.education_.._du_PIB.;Taux_d.inscription_aux_etudes_primaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_secondaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_tertiaires.taux_brut.._de_la_population.;Degre_d.alphabetisation_chez_les_femmes_ayant_entre_15_et_24_ans.;Degre_d.alphabetisation_chez_les_hommes_ayant_entre_15_et_24_ans_...;Utilisateurs_d.Internet_.par_100_habitants.;Nombre_de_serveurs_securises_.par_million_d.habitants.
Afghanistan;AFG;regime autoritaire;CONTINENT ASIATIQUE;147;2.48;29824536;0.2;2.46;43;40;50;76.4;74.1;60.2;NA;0.79;6;2.78;NA;35.5;6;59.6;6;7;6.32;30;75.5;1.14;769694444;528000000;NA;338150;4;3.13;104;54;42.31;90.61;92.52;5.45;NA
Afrique du Sud;ZAF;democratie;CONTINENT AFRICAIN;30;7.79;52341695;0.56;1.49;50;45;60;70.7;75;57.3;6.25;8.21;2;7.22;8.75;NA;2;62.7;4;6;5.52;40;76.3;1.13;181000000;132000000;0.32;62100;NA;6.37;102;102;NA;99.27;98.5;41;81.9
Albanie;ALB;regime hybride;CONTINENT EUROPEEN;87;5.67;2900489;0.5;-0.28;35;33;70;91.4;78.6;51;5;4;3;5;7;27.56;3;65.1;7;10;8.89;10;79.8;1.49;769694444;15000000;1.17;14750;3.38;4.42;104;80;55.5;90.61;92.52;54.66;20.69
Algerie;DZA;regime autoritaire;CONTINENT AFRICAIN;114;3.83;38481705;0.45;1.87;30;29;30;82.9;76.3;54.4;5.63;2.21;5;3.89;3;31;6;51;0;7;3.65;30;72.8;4.56;769694444;889000000;NA;317200;3.25;4.42;117;80;31.46;90.61;92.52;15.23;1.27
Allemagne;DEU;democratie;CONTINENT AFRICAIN;14;8.34;80425823;0.73;0.03;90;79;60;61.3;83.5;41.4;8.13;8.21;1;6.67;9.58;NA;1;71;10;5;5.46;47;87.1;1.32;1161000000;142000000;0.45;186450;1;4.42;100;101;42.31;90.61;92.52;82.35;1110.78
Angola;AGO;regime autoritaire;CONTINENT AFRICAIN;128;3.35;20820525;0.5;3.18;20;19;40;84.1;61.2;43.9;4.38;3.21;5;5;0.92;30.17;6;46.7;0;10;6.32;17;65.2;3.59;769694444;244870690;1.53;117000;2.63;4.42;104;80;42.31;66.36;79.75;16.94;3.46
Arabie Saoudite;SAU;regime autoritaire;CONTINENT ASIATIQUE;158;1.71;28287855;0.65;1.83;45;47;50;99.6;64.9;71.1;3.13;2.86;6;NA;0;62.5;7;62.5;6;10;6.32;0;82.3;NA;769694444;899000000;NA;249000;3.38;4.42;103;80;50.94;90.61;92.52;54;30.54
Argentine;ARG;democratie imparfaite;CONTINENT AMERICAIN;50;6.84;41086927;0.67;0.87;20;29;30;65.5;60.7;48.9;6.25;5.71;2;5.56;8.75;12;2;48;6;7;6.29;35;67.6;0.75;769694444;36000000;0.55;104350;2.75;5.14;124;107;80.31;99.42;99.06;55.8;41.79
Armenie;ARM;regime hybride;CONTINENT ASIATIQUE;110;NA;2969081;0.5;0.02;30;26;70;89.3;73.1;76.6;3.13;3.21;4;3.89;4.33;27.56;6;68.8;6;10;6.32;20;85.4;3.82;769694444;244870690;NA;49100;3.25;3.28;104;80;46.04;99.82;99.68;39.16;26.94
Australie;AUS;democratie;CONTINENT OCEANIEN;6;9.22;22728254;0.85;1.39;90;87;90;63.4;84.5;90.6;9.38;8.93;1;7.78;10;NA;1;83.1;10;6;6.67;45;86.2;NA;75000000;879000000;0.47;56200;1;4.91;105;136;86.33;90.61;92.52;79;NA
